Plant_ID,rgr_h_FM,rgr_h_MA,rgr_h_AM,rgr_h_MJ,rgr_l_FM,rgr_l_MA,rgr_l_AM,rgr_l_MJ,rgr_v_FM,rgr_v_MA,rgr_v_AM,rgr_v_MJ
C6.BROMAD.1,NA,0.07408394528161336,NA,NA,NA,-0.0017687342892258825,NA,NA,NA,0.06972484442452168,NA,NA
C6.PHATAN.1,0.04812159200482448,NA,NA,NA,-0.010654891572288177,NA,NA,NA,0.13535624601888277,NA,NA,NA
C7.AMSMEN.1,0.02244947420630798,NA,NA,NA,0.003222643592208507,NA,NA,NA,0.08985430184315063,NA,NA,NA
C7.AVEBAR.1,NA,0.06764339675942938,0.01889709949272473,NA,NA,0.01205771546481893,-0.026652000966439018,NA,NA,0.12058580849323555,0.03158361785965254,NA
C7.BROARE.1,NA,0.025992131116426894,-0.009165965638637258,NA,NA,0.015010967974408465,0.021167705675530776,NA,NA,0.07617444948218005,-0.01749937641034867,NA
C7.BRODIA.1,NA,0.01761467668158588,NA,NA,NA,0.011735372618524248,NA,NA,NA,0.04630435557074658,NA,NA
C7.BROMAD.1,NA,0.0569654319604447,NA,NA,NA,-0.010981163142018446,NA,NA,NA,0.02571576313214631,NA,NA
C7.EROCIC.1,0.0813786880494896,NA,NA,NA,0.025672117798516487,NA,NA,NA,0.14063307550941367,NA,NA,NA
C8.AIRCAR.1,0.017407541823916132,0.04989375803228708,0.006603409177100214,NA,0.016740189768261388,0.025434446314854448,-Inf,NA,0.06273255780992042,0.12172518115534908,0.0019194628945752024,NA
C8.BRODIA.1,NA,0.011221462083952697,0.04903206403184736,NA,NA,0.004673982482628406,-0.06096762442068426,NA,NA,0.06406549212871034,0.10491884384590983,NA
C8.BROHOR.1,NA,0.04504316046366739,0.046645088292722306,NA,NA,-0.005315540683698553,-0.012051375108865017,NA,NA,0.1108829036816507,0.1140839611712786,NA
C8.CLAPUR.1,0.055706570250973114,0.03913723906341326,0.031290634308928186,NA,0.03358226966140757,0.014420832202951516,-0.009735510705241451,NA,0.13347117206568998,0.09490986258352628,0.06393808117377862,NA
C8.DANCAL.1,NA,NA,NA,-0.029453462522916987,NA,NA,NA,-0.03648143055578659,NA,NA,NA,-0.12074825491176468
C8.DAUPUS.1,0.010654891572288182,0.058784416973738804,0.059935204510967136,NA,0.02176987647785627,0.021930647128275745,0.01916735026495486,NA,0.08632429518373118,0.11288602218337201,0.09529676610628796,NA
C8.ESCCAL.1,0.025672117798516494,0.06710034996742459,0.010511281947512958,0.019646668902421036,0.018919467546888554,-0.012299135997887333,0.003105381223826105,0.06103401603711722,0.08490869470890904,0.10701251509470196,0.029213740490127125,0.05557040028714619
C8.GALPAR.1,0.05134423559703299,0.05549785904945173,NA,NA,0.025672117798516497,0.031596232133591556,NA,NA,0.11770569742029428,0.13251828048073083,NA,NA
C8.HYPGLA.1,0.0406893440247448,0.07702042143127912,0.040235947810852504,NA,0.016364176010334772,0.006695034980722681,-0.006706599664866986,NA,0.12797276307157152,0.12098830853506069,0.016328546148656153,NA
C8.MADGRA.1,0.05705352003507959,0.04901329934245382,NA,NA,0.015017226226228302,0.05211922427841024,NA,NA,0.14272227532624038,0.07362593616185661,NA,NA
D1.AIRCAR.1,0.02043302495063963,0.05228719726379484,0.04823063276454418,NA,0.04394449154672438,0,-0.05364793041447002,NA,0.06354588571060106,0.07121999851732615,0.06227108160042096,NA
D1.BRODIA.1,NA,0.012766408408536859,0.0733071480448683,NA,NA,0.016692509597082978,-0.02968775904217856,NA,NA,0.046997087082269955,0.14036666426409808,NA
D1.BROHOR.1,NA,0.05134816803157163,0.053849463910546125,NA,NA,0.031733627149207806,-0.03994870028035172,NA,NA,0.09221322506639534,0.11217665744407984,NA
D1.ESCCAL.1,0.03923317012046905,0.04292847627688793,0.03804775256513978,-0.016793381770718555,0.03822045780109746,0.008942132886489314,0.022633823698471858,0.03090488876904154,0.1012570666169157,0.0973748480587744,0.0730395033377501,0.03224038839594496
D1.GALPAR.1,0.04118477668724632,0.07161448043889292,0.012459161555268071,NA,0.04495720386609598,0.031528317803856655,0.022771110134913675,NA,0.12794692470202723,0.15412572039795458,0.055285174876425335,NA
D1.HYPGLA.1,0.08317766166719343,0.030543024395805165,0.062127736871526895,NA,0.02514434637689497,-0.01702752079219968,0.009676967898034662,NA,0.1524066048128609,0.02591018295223894,0.12453768330523733,NA
D1.MADGRA.1,0.032437208648653154,0.042283710848783566,0.062188246203554946,NA,0.05287023359929279,0.03842265033127951,0.053799231140722735,NA,0.09260030451970414,0.0940813238915981,0.11032354876373693,NA
D2.AVEBAR.1,NA,0.03662040962227032,0.049839577311259355,NA,NA,0.007170379320564857,-0.01820526849784637,NA,NA,0.1148803241494568,0.08809547345614627,NA
D2.BRODIA.1,NA,0.042697794848735475,NA,NA,NA,0.01518251762276086,NA,NA,NA,0.10444393121688514,NA,NA
