Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
McLaughlin Natural Reserve,5/16/22,6,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,3/23/22,7,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,3/23/22,7,Bare ground,20,,,
McLaughlin Natural Reserve,3/23/22,7,Bulb,1,,,
McLaughlin Natural Reserve,3/23/22,7,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,3/23/22,7,Erodium botrys,5,,,
McLaughlin Natural Reserve,3/23/22,7,Grass,10,,,
McLaughlin Natural Reserve,3/23/22,7,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,3/23/22,7,Leptosiphon bicolor,1,,,
McLaughlin Natural Reserve,3/23/22,7,Litter,3,,,
McLaughlin Natural Reserve,3/23/22,7,Lupinus bicolor,22,,,
McLaughlin Natural Reserve,3/23/22,7,Micropus californicus,10,,,
McLaughlin Natural Reserve,3/23/22,7,Plantago erecta,1,,,
McLaughlin Natural Reserve,3/23/22,7,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,7,Trifolium hirtum,3,,,fuzzy
McLaughlin Natural Reserve,5/16/22,7,Avena barbata,3,,,could be barbata
McLaughlin Natural Reserve,5/16/22,7,Elymus caput-medusae,2,,,could be barbata
McLaughlin Natural Reserve,5/16/22,7,Bromus diandrus,2,,,could be barbata
McLaughlin Natural Reserve,5/16/22,7,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,7,Logfia gallica,1,,,could be barbata
McLaughlin Natural Reserve,3/23/22,8,Acmispon wrangelianus,7,,,
McLaughlin Natural Reserve,3/23/22,8,Bare ground,3,,,
McLaughlin Natural Reserve,3/23/22,8,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,3/23/22,8,Erodium botrys,12,,,
McLaughlin Natural Reserve,3/23/22,8,Grass,3,,,
McLaughlin Natural Reserve,3/23/22,8,Holocarpha virgata,7,,,
McLaughlin Natural Reserve,3/23/22,8,Hypochaeris glabra,1,,,
McLaughlin Natural Reserve,3/23/22,8,Litter,5,,,
McLaughlin Natural Reserve,3/23/22,8,Lupinus bicolor,50,,,
McLaughlin Natural Reserve,3/23/22,8,Micropus californicus,25,,,
McLaughlin Natural Reserve,3/23/22,8,Plantago erecta,3,,,
McLaughlin Natural Reserve,3/23/22,8,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,8,Trifolium hirtum,7,,,fuzzy
McLaughlin Natural Reserve,5/16/22,8,Avena barbata,1,,,
McLaughlin Natural Reserve,5/16/22,8,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,5/16/22,8,Bromus madritensis,1,,,Unknown Brome
McLaughlin Natural Reserve,5/16/22,8,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,3/23/22,9,Acmispon wrangelianus,5,,,
McLaughlin Natural Reserve,3/23/22,9,Bare ground,2,,,
McLaughlin Natural Reserve,3/23/22,9,Bulb,1,,,
McLaughlin Natural Reserve,3/23/22,9,Castilleja attenuata,1,,,
McLaughlin Natural Reserve,3/23/22,9,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,3/23/22,9,Erodium botrys,4,,,
McLaughlin Natural Reserve,3/23/22,9,Grass,2,,,
McLaughlin Natural Reserve,3/23/22,9,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,3/23/22,9,Litter,1,,,
McLaughlin Natural Reserve,3/23/22,9,Lupinus bicolor,55,,,
McLaughlin Natural Reserve,3/23/22,9,Micropus californicus,2,,,
McLaughlin Natural Reserve,3/23/22,9,Plantago erecta,4,,,
McLaughlin Natural Reserve,3/23/22,9,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,9,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,5/16/22,9,Avena barbata,2,,,
McLaughlin Natural Reserve,5/16/22,9,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,5/16/22,9,Bromus diandrus,1,,,
McLaughlin Natural Reserve,5/16/22,9,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,3/23/22,10,Acmispon wrangelianus,2,,,
McLaughlin Natural Reserve,3/23/22,10,Bare ground,1,,,
McLaughlin Natural Reserve,3/23/22,10,Castilleja attenuata,2,,,
McLaughlin Natural Reserve,3/23/22,10,Clarkia purpurea,2,,,
McLaughlin Natural Reserve,3/23/22,10,Erodium botrys,15,,,
McLaughlin Natural Reserve,3/23/22,10,Grass,15,,,
McLaughlin Natural Reserve,3/23/22,10,Holocarpha virgata,3,,,
McLaughlin Natural Reserve,3/23/22,10,Litter,2,,,
McLaughlin Natural Reserve,3/23/22,10,Lupinus bicolor,65,,,
McLaughlin Natural Reserve,3/23/22,10,Micropus californicus,10,,,
McLaughlin Natural Reserve,3/23/22,10,Plantago erecta,5,,,
