sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
E7BROHOR2_20230503,4.216,2023-05-03,E7.BROHOR.2,BROHOR,E7
E8BROHOR2_20230503,6.93,2023-05-03,E8.BROHOR.2,BROHOR,E8
F1BROHOR2_20230503,11.525,2023-05-03,F1.BROHOR.2,BROHOR,F1
F3BROHOR2_20230503,6.551,2023-05-03,F3.BROHOR.2,BROHOR,F3
F4BROHOR2_20230503,5.568,2023-05-03,F4.BROHOR.2,BROHOR,F4
F5BROHOR2_20230503,4.324,2023-05-03,F5.BROHOR.2,BROHOR,F5
F6BROHOR2_20230503,5.763,2023-05-03,F6.BROHOR.2,BROHOR,F6
F8BROHOR2_20230503,9.48,2023-05-03,F8.BROHOR.2,BROHOR,F8
G1BROHOR2_20230505,4.781,2023-05-05,G1.BROHOR.2,BROHOR,G1
G2BROHOR2_20230505,9.638,2023-05-05,G2.BROHOR.2,BROHOR,G2
G3BROHOR2_20230505,5.97,2023-05-05,G3.BROHOR.2,BROHOR,G3
G5BROHOR2_20230505,5.316,2023-05-05,G5.BROHOR.2,BROHOR,G5
G6BROHOR2_20230505,7.397,2023-05-05,G6.BROHOR.2,BROHOR,G6
G7BROHOR2_20230505,14.416,2023-05-05,G7.BROHOR.2,BROHOR,G7
G8BROHOR2_20230505,3.547,2023-05-05,G8.BROHOR.2,BROHOR,G8
H1BROHOR2_20230505,6.921,2023-05-05,H1.BROHOR.2,BROHOR,H1
H2BROHOR2_20230505,4.433,2023-05-05,H2.BROHOR.2,BROHOR,H2
H4BROHOR2_20230505,7.603,2023-05-05,H4.BROHOR.2,BROHOR,H4
H5BROHOR2_20230503,6.887,2023-05-03,H5.BROHOR.2,BROHOR,H5
H6BROHOR2_20230503,6.777,2023-05-03,H6.BROHOR.2,BROHOR,H6
H7BROHOR2_20230503,7.046,2023-05-03,H7.BROHOR.2,BROHOR,H7
H8BROHOR2_20230503,7.046,2023-05-03,H8.BROHOR.2,BROHOR,H8
I1BROHOR2_20230503,11.69,2023-05-03,I1.BROHOR.2,BROHOR,I1
I2BROHOR2_20230503,5.435,2023-05-03,I2.BROHOR.2,BROHOR,I2
I4BROHOR2_20230503,12.378,2023-05-03,I4.BROHOR.2,BROHOR,I4
I5BROHOR2_20230503,9.124,2023-05-03,I5.BROHOR.2,BROHOR,I5
I6BROHOR2_20230503,6.341,2023-05-03,I6.BROHOR.2,BROHOR,I6
I7BROHOR2_20230503,5.112,2023-05-03,I7.BROHOR.2,BROHOR,I7
I8BROHOR2_20230503,9.343,2023-05-03,I8.BROHOR.2,BROHOR,I8
J1BROHOR2_20230503,6.151,2023-05-03,J1.BROHOR.2,BROHOR,J1
J2BROHOR2_20230503,10.181,2023-05-03,J2.BROHOR.2,BROHOR,J2
J3BROHOR2_20230503,5.795000000000001,2023-05-03,J3.BROHOR.2,BROHOR,J3
J5BROHOR2_20230503,7.971,2023-05-03,J5.BROHOR.2,BROHOR,J5
J6BROHOR2_20230503,4.2,2023-05-03,J6.BROHOR.2,BROHOR,J6
J8BROHOR2_20230503,6.655,2023-05-03,J8.BROHOR.2,BROHOR,J8
A2BROMAD2_20230424,5.141,2023-04-24,A2.BROMAD.2,BROMAD,A2
A4BROMAD2_20230424,6.449,2023-04-24,A4.BROMAD.2,BROMAD,A4
A5BROMAD2_20230424,2.403,2023-04-24,A5.BROMAD.2,BROMAD,A5
A6BROMAD2_20230424,3.284,2023-04-24,A6.BROMAD.2,BROMAD,A6
A7BROMAD2_20230424,4.001,2023-04-24,A7.BROMAD.2,BROMAD,A7
A8BROMAD2_20230424,3.916,2023-04-24,A8.BROMAD.2,BROMAD,A8
B2BROMAD2_20230424,3.851,2023-04-24,B2.BROMAD.2,BROMAD,B2
B3BROMAD2_20230424,1.464,2023-04-24,B3.BROMAD.2,BROMAD,B3
B5BROMAD2_20230424,4.729,2023-04-24,B5.BROMAD.2,BROMAD,B5
B6BROMAD2_20230424,5.277,2023-04-24,B6.BROMAD.2,BROMAD,B6
B8BROMAD2_20230424,4.062,2023-04-24,B8.BROMAD.2,BROMAD,B8
C1BROMAD2_20230424,2.923,2023-04-24,C1.BROMAD.2,BROMAD,C1
C2BROMAD2_20230424,1.779,2023-04-24,C2.BROMAD.2,BROMAD,C2
C6BROMAD2_20230424,5.742,2023-04-24,C6.BROMAD.2,BROMAD,C6
C7BROMAD2_20230423,5.4190000000000005,2023-04-23,C7.BROMAD.2,BROMAD,C7
D3BROMAD2_20230424,1.956,2023-04-24,D3.BROMAD.2,BROMAD,D3
D4BROMAD2_20230423,1.833,2023-04-23,D4.BROMAD.2,BROMAD,D4
D5BROMAD2_20230423,7.877,2023-04-23,D5.BROMAD.2,BROMAD,D5
D7BROMAD2_20230423,3.305,2023-04-23,D7.BROMAD.2,BROMAD,D7
D8BROMAD2_20230423,2.969,2023-04-23,D8.BROMAD.2,BROMAD,D8
E2BROMAD2_20230423,3.452,2023-04-23,E2.BROMAD.2,BROMAD,E2
E4BROMAD2_20230423,3.609,2023-04-23,E4.BROMAD.2,BROMAD,E4
E5BROMAD1_20230423,3.005,2023-04-23,E5.BROMAD.1,BROMAD,E5
E6BROMAD2_20230423,2.675,2023-04-23,E6.BROMAD.2,BROMAD,E6
E7BROMAD2_20230424,2.186,2023-04-24,E7.BROMAD.2,BROMAD,E7
F2BROMAD2_20230424,2.825,2023-04-24,F2.BROMAD.2,BROMAD,F2
F4BROMAD2_20230424,3.042,2023-04-24,F4.BROMAD.2,BROMAD,F4
F5BROMAD2_20230424,3.492,2023-04-24,F5.BROMAD.2,BROMAD,F5
F6BROMAD2_20230424,2.858,2023-04-24,F6.BROMAD.2,BROMAD,F6
F7BROMAD2_20230424,4.466,2023-04-24,F7.BROMAD.2,BROMAD,F7
G2BROMAD2_20230424,5.407,2023-04-24,G2.BROMAD.2,BROMAD,G2
G3BROMAD2_20230424,6.591,2023-04-24,G3.BROMAD.2,BROMAD,G3
G4BROMAD2_20230424,2.029,2023-04-24,G4.BROMAD.2,BROMAD,G4
G5BROMAD2_20230424,2.526,2023-04-24,G5.BROMAD.2,BROMAD,G5
H1BROMAD2_20230424,4.732,2023-04-24,H1.BROMAD.2,BROMAD,H1
H3BROMAD2_20230424,5.742,2023-04-24,H3.BROMAD.2,BROMAD,H3
H4BROMAD2_20230424,3.089,2023-04-24,H4.BROMAD.2,BROMAD,H4
H7BROMAD2_20230423,4.432,2023-04-23,H7.BROMAD.2,BROMAD,H7
H8BROMAD2_20230423,3.52,2023-04-23,H8.BROMAD.2,BROMAD,H8
I2BROMAD2_20230424,2.763,2023-04-24,I2.BROMAD.2,BROMAD,I2
I3BROMAD2_20230423,3.186,2023-04-23,I3.BROMAD.2,BROMAD,I3
I7BROMAD2_20230423,4.049,2023-04-23,I7.BROMAD.2,BROMAD,I7
J3BROMAD2_20230423,5.54,2023-04-23,J3.BROMAD.2,BROMAD,J3
J4BROMAD2_20230423,6.074,2023-04-23,J4.BROMAD.2,BROMAD,J4
J5BROMAD2_20230423,5.291,2023-04-23,J5.BROMAD.2,BROMAD,J5
J6BROMAD2_20230423,4.07,2023-04-23,J6.BROMAD.2,BROMAD,J6
J7BROMAD2_20230423,4.358,2023-04-23,J7.BROMAD.2,BROMAD,J7
J8BROMAD2_20230423,5.156,2023-04-23,J8.BROMAD.2,BROMAD,J8
A7CALMEN1_20230403,1.628,2023-04-03,A7.CALMEN.1,CALMEN,A7
B3CALMEN1_20230403,1.677,2023-04-03,B3.CALMEN.1,CALMEN,B3
B6CALMEN1_20230403,0.347,2023-04-03,B6.CALMEN.1,CALMEN,B6
C2CALMEN1_20230403,0.04,2023-04-03,C2.CALMEN.1,CALMEN,C2
D8CALMEN2_20230403,1.603,2023-04-03,D8.CALMEN.2,CALMEN,D8
E5CALMEN1_20230403,1.259,2023-04-03,E5.CALMEN.1,CALMEN,E5
E6CALMEN2_20230403,0.479,2023-04-03,E6.CALMEN.2,CALMEN,E6
I2CALMEN1_20230403,1.503,2023-04-03,I2.CALMEN.1,CALMEN,I2
J8CALMEN1_20230403,3.303,2023-04-03,J8.CALMEN.1,CALMEN,J8
A4CAUCOU2_20230423,28.878,2023-04-23,A4.CAUCOU.2,CAUCOU,A4
